title,code,vorname,name,regionalverband,status
Vorname1 Nachname1,CODE001,Vorname1,Nachname1,Berlin,1
Vorname2 Nachname2,CODE002,Vorname2,Nachname2,Berlin,1
Vorname3 Nachname3,CODE003,Vorname3,Nachname3,OPR,1
Vorname4 Nachname4,CODE004,Vorname4,Nachname4,OPR,1
Vorname5 Nachname5,CODE005,Vorname5,Nachname5,BRB,1
Vorname6 Nachname6,CODE006,Vorname6,Nachname6,MOL,1
Vorname7 Nachname7,CODE007,Vorname7,Nachname7,BRB,1
Vorname8 Nachname8,CODE008,Vorname8,Nachname8,HRO,1
Vorname9 Nachname9,CODE009,Vorname9,Nachname9,OPR,1
Vorname10 Nachname10,CODE010,Vorname10,Nachname10,Barnim,1
Vorname11 Nachname11,CODE011,Vorname11,Nachname11,OPR,1
Vorname12 Nachname12,CODE012,Vorname12,Nachname12,Oberhavel,1
Vorname13 Nachname13,CODE013,Vorname13,Nachname13,MOL,1
Vorname14 Nachname14,CODE014,Vorname14,Nachname14,HRO,1
Vorname15 Nachname15,CODE015,Vorname15,Nachname15,Berlin,1
Vorname16 Nachname16,CODE016,Vorname16,Nachname16,HRO,1
Vorname17 Nachname17,CODE017,Vorname17,Nachname17,HRO,1
Vorname18 Nachname18,CODE018,Vorname18,Nachname18,MOL,1
Vorname19 Nachname19,CODE019,Vorname19,Nachname19,MOL,1
Vorname20 Nachname20,CODE020,Vorname20,Nachname20,Berlin,1
Vorname21 Nachname21,CODE021,Vorname21,Nachname21,HRO,1
Vorname22 Nachname22,CODE022,Vorname22,Nachname22,Barnim,1
Vorname23 Nachname23,CODE023,Vorname23,Nachname23,BRB,1
Vorname24 Nachname24,CODE024,Vorname24,Nachname24,Barnim,1
Vorname25 Nachname25,CODE025,Vorname25,Nachname25,Oberhavel,1
Vorname26 Nachname26,CODE026,Vorname26,Nachname26,BRB,1
Vorname27 Nachname27,CODE027,Vorname27,Nachname27,OPR,1
Vorname28 Nachname28,CODE028,Vorname28,Nachname28,MOL,1
Vorname29 Nachname29,CODE029,Vorname29,Nachname29,OPR,1
Vorname30 Nachname30,CODE030,Vorname30,Nachname30,BRB,1
Vorname31 Nachname31,CODE031,Vorname31,Nachname31,OPR,1
Vorname32 Nachname32,CODE032,Vorname32,Nachname32,Barnim,1
Vorname33 Nachname33,CODE033,Vorname33,Nachname33,OPR,1
Vorname34 Nachname34,CODE034,Vorname34,Nachname34,Berlin,1
Vorname35 Nachname35,CODE035,Vorname35,Nachname35,Oberhavel,1
Vorname36 Nachname36,CODE036,Vorname36,Nachname36,MOL,1
Vorname37 Nachname37,CODE037,Vorname37,Nachname37,OPR,1
Vorname38 Nachname38,CODE038,Vorname38,Nachname38,BRB,1
Vorname39 Nachname39,CODE039,Vorname39,Nachname39,HRO,1
Vorname40 Nachname40,CODE040,Vorname40,Nachname40,Barnim,1
Vorname41 Nachname41,CODE041,Vorname41,Nachname41,MOL,1
Vorname42 Nachname42,CODE042,Vorname42,Nachname42,Oberhavel,1
Vorname43 Nachname43,CODE043,Vorname43,Nachname43,Oberhavel,1
Vorname44 Nachname44,CODE044,Vorname44,Nachname44,MOL,1
Vorname45 Nachname45,CODE045,Vorname45,Nachname45,BRB,1
Vorname46 Nachname46,CODE046,Vorname46,Nachname46,OPR,1
Vorname47 Nachname47,CODE047,Vorname47,Nachname47,OPR,1
Vorname48 Nachname48,CODE048,Vorname48,Nachname48,MOL,1
Vorname49 Nachname49,CODE049,Vorname49,Nachname49,Berlin,1
Vorname50 Nachname50,CODE050,Vorname50,Nachname50,MOL,1
Vorname51 Nachname51,CODE051,Vorname51,Nachname51,BRB,1
Vorname52 Nachname52,CODE052,Vorname52,Nachname52,Barnim,1
Vorname53 Nachname53,CODE053,Vorname53,Nachname53,HRO,1
Vorname54 Nachname54,CODE054,Vorname54,Nachname54,Berlin,1
Vorname55 Nachname55,CODE055,Vorname55,Nachname55,MOL,1
Vorname56 Nachname56,CODE056,Vorname56,Nachname56,Oberhavel,1
Vorname57 Nachname57,CODE057,Vorname57,Nachname57,Oberhavel,1
Vorname58 Nachname58,CODE058,Vorname58,Nachname58,Barnim,1
Vorname59 Nachname59,CODE059,Vorname59,Nachname59,Barnim,1
Vorname60 Nachname60,CODE060,Vorname60,Nachname60,HRO,1
Vorname61 Nachname61,CODE061,Vorname61,Nachname61,Barnim,1
Vorname62 Nachname62,CODE062,Vorname62,Nachname62,BRB,1
Vorname63 Nachname63,CODE063,Vorname63,Nachname63,OPR,1
Vorname64 Nachname64,CODE064,Vorname64,Nachname64,OPR,1
Vorname65 Nachname65,CODE065,Vorname65,Nachname65,OPR,1
Vorname66 Nachname66,CODE066,Vorname66,Nachname66,Oberhavel,1
Vorname67 Nachname67,CODE067,Vorname67,Nachname67,BRB,1
Vorname68 Nachname68,CODE068,Vorname68,Nachname68,Oberhavel,1
Vorname69 Nachname69,CODE069,Vorname69,Nachname69,Berlin,1
Vorname70 Nachname70,CODE070,Vorname70,Nachname70,Oberhavel,1
Vorname71 Nachname71,CODE071,Vorname71,Nachname71,MOL,1
Vorname72 Nachname72,CODE072,Vorname72,Nachname72,Barnim,1
Vorname73 Nachname73,CODE073,Vorname73,Nachname73,Oberhavel,1
Vorname74 Nachname74,CODE074,Vorname74,Nachname74,Berlin,1
